日,TensorFlow: (日本),PyTorch: (日本),Keras: (日本),Caffe: (日本),Deeplearning4j: (日本)
2016/1/1,0,0,0,0,0
2016/1/2,0,0,30,0,0
2016/1/3,0,0,0,0,0
2016/1/4,0,0,0,0,29
2016/1/5,33,0,0,0,0
2016/1/6,0,22,0,0,0
2016/1/7,0,0,0,22,0
2016/1/8,0,0,0,0,33
2016/1/9,0,0,0,0,0
2016/1/10,0,0,0,0,0
2016/1/11,0,0,0,24,0
2016/1/12,21,0,0,24,0
2016/1/13,0,0,49,0,0
2016/1/14,0,0,0,0,23
2016/1/15,0,0,0,0,0
2016/1/16,24,0,0,0,0
2016/1/17,0,0,0,0,23
2016/1/18,25,0,23,0,27
2016/1/19,0,0,0,0,0
2016/1/20,0,0,0,0,0
2016/1/21,0,0,0,0,0
2016/1/22,0,0,0,0,54
2016/1/23,0,0,0,0,28
2016/1/24,0,0,0,0,0
2016/1/25,0,0,0,0,51
2016/1/26,0,67,0,24,0
2016/1/27,0,0,0,0,0
2016/1/28,41,23,44,0,31
2016/1/29,0,0,32,0,0
2016/1/30,0,0,0,0,0
2016/1/31,0,20,30,0,0
2016/2/1,18,19,0,0,0
2016/2/2,0,34,0,0,0
2016/2/3,0,23,0,0,72
2016/2/4,0,0,0,0,0
2016/2/5,0,0,0,22,0
2016/2/6,0,0,0,0,0
2016/2/7,27,0,27,0,0
2016/2/8,0,0,0,0,0
2016/2/9,0,0,0,0,0
2016/2/10,38,0,0,28,0
2016/2/11,0,0,53,0,0
2016/2/12,0,0,0,27,0
2016/2/13,0,0,0,0,0
2016/2/14,0,0,0,27,0
2016/2/15,0,0,0,0,45
2016/2/16,33,0,0,0,0
2016/2/17,0,0,0,0,0
2016/2/18,0,0,0,0,0
2016/2/19,32,0,0,0,0
2016/2/20,0,0,0,49,0
2016/2/21,0,0,0,0,19
2016/2/22,0,0,48,0,0
2016/2/23,0,0,36,0,0
2016/2/24,0,0,0,0,0
2016/2/25,0,0,0,0,0
2016/2/26,0,0,19,0,0
2016/2/27,32,0,0,0,0
2016/2/28,29,0,0,0,0
2016/2/29,0,0,0,0,25
2016/3/1,20,0,0,0,22
2016/3/2,25,0,0,40,27
2016/3/3,0,0,0,0,0
2016/3/4,0,22,0,0,0
2016/3/5,35,0,0,0,0
2016/3/6,70,22,0,0,0
2016/3/7,18,0,0,0,0
2016/3/8,0,0,0,22,0
2016/3/9,25,17,19,0,0
2016/3/10,0,54,0,0,0
2016/3/11,0,0,0,35,0
2016/3/12,0,23,0,0,0
2016/3/13,0,0,0,0,0
2016/3/14,41,0,18,0,51
2016/3/15,0,0,0,0,0
2016/3/16,0,0,0,0,0
2016/3/17,0,0,0,0,0
2016/3/18,0,0,30,0,0
2016/3/19,0,0,25,0,0
2016/3/20,0,0,0,0,0
2016/3/21,0,0,100,0,0
2016/3/22,0,55,0,0,0
2016/3/23,0,0,0,30,0
2016/3/24,0,0,55,0,0
2016/3/25,0,0,0,0,0
2016/3/26,0,0,26,0,39
2016/3/27,0,0,0,0,0
2016/3/28,50,30,27,18,41
2016/3/29,0,0,55,0,33
2016/3/30,0,0,26,0,0
2016/3/31,0,0,0,0,0
2016/4/1,0,0,0,0,0
2016/4/2,69,0,0,0,0
2016/4/3,0,0,0,0,0
2016/4/4,28,0,30,17,34
2016/4/5,0,0,0,0,0
2016/4/6,20,28,0,0,33
2016/4/7,0,0,0,0,0
2016/4/8,0,0,0,0,21
2016/4/9,0,0,0,0,0
2016/4/10,48,0,0,0,0
2016/4/11,0,0,0,0,18
2016/4/12,0,0,41,0,0
2016/4/13,33,0,0,26,0
2016/4/14,0,0,0,0,0
2016/4/15,23,0,0,0,0
2016/4/16,52,0,0,0,38
2016/4/17,0,0,0,0,0
2016/4/18,0,44,48,0,0
2016/4/19,0,0,0,0,0
2016/4/20,0,0,0,35,0
2016/4/21,0,0,0,0,0
2016/4/22,0,0,0,0,0
2016/4/23,0,0,0,0,0
2016/4/24,0,0,0,0,21
2016/4/25,0,0,0,0,0
2016/4/26,18,0,0,0,0
2016/4/27,0,26,0,0,0
2016/4/28,0,0,0,21,0
